id;name;energia, laskennallinen (kJ);hiilihydraatti imeytyvä (g);rasva (g);proteiini (g);alkoholi (g);kuitu, kokonais- (g);orgaaniset hapot (g);sokerialkoholi (g);tärkkelys (g);sokerit (g);fruktoosi (g);galaktoosi (g);glukoosi (g);laktoosi (g);maltoosi (g);sakkaroosi (g);polysakkaridi, vesiliukoinen ei-selluloosa (g);kuitu veteen liukenematon (g);rasvahapot yhteensä (g);rasvahapot monityydyttymättömät (g);rasvahapot yksittäistyydyttymättömät cis (g);rasvahapot tyydyttyneet (g);rasvahapot trans (g);rasvahapot n-3 monityydyttymättömät (g);rasvahapot n-6 monityydyttymättömät (g);rasvahappo 18:2 cis,cis n-6 (linolihappo) (mg);rasvahappo 18:3 n-3 (alfalinoleenihappo) (mg);rasvahappo 20:5 n-3 (EPA) (mg);rasvahappo 22:6 n-3 (DHA) (mg);kolesteroli (GC) (mg);sterolit (mg);kalsium (mg);rauta (mg);jodidi (jodi) (µg);kalium (mg);magnesium (mg);natrium (mg);suola (mg);fosfori (mg);seleeni (µg);sinkki (mg);tryptofaani (mg);folaatti, kokonais- (µg);niasiiniekvivalentti NE (mg);niasiini (nikotiinihappo + nikotiiniamidi) (mg);pyridoksiini vitameerit (vetykloridi) (B6) (mg);riboflaviini (B2) (mg);tiamiini (B1) (mg);B12-vitamiini (kobalamiini) (µg);C-vitamiini (mg);A-vitamiini RAE (µg);karotenoidit (µg);D-vitamiini (µg);E-vitamiini alfatokoferoli (mg);K-vitamiini (µg)
812;Ahven;345;0;0.7;18.8;0;0;0;0;0;0;0;N/A;0;0;0;0;0;0;0.5;0.2;0.2;0.1;<0.1;0.2;<0.1;15;8;40;80;92.0;0.3;109.0;0.3;34.5;330.0;26.0;45.6;116.2;240.0;28.0;0.8;230.0;6.0;7.8;4.0;0.22;0.07;0.07;1.9;0;6.4;0;15.2;1.5;0.80
8009;Ahven, leivitetty, paistettu;660;4.7;6.5;19.9;0;0.2;<0.1;0;4.6;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;0.2;6.0;1.8;2.9;1.2;<0.1;0.6;1.2;1180;437;40;82;96.3;30.2;114.2;0.4;51.9;347.3;28.7;307.5;783.5;253.6;29.2;0.9;242.7;5.5;7.0;4.1;0.23;0.06;0.06;1.6;<0.1;28.0;6.3;15.8;2.5;6.81
32229;Ahven, paistettu, ei korppujauhoja;600;<0.1;6.8;20.5;0;0;<0.1;0;0;<0.1;0;<0.1;<0.1;<0.1;0;0;0;0;6.4;1.9;3.1;1.3;<0.1;0.6;1.2;1217;464;43;88;102.9;28.9;120.6;0.3;54.8;360.4;28.7;328.1;835.9;263.0;30.5;0.9;250.4;4.6;7.3;4.4;0.24;0.07;0.05;1.8;<0.1;29.9;6.4;16.8;2.7;7.21
32230;Ahven, paistettu voissa, ei korppujauhoja;595;<0.1;7.3;19.1;0;0;0;0;0;<0.1;0;0;0;<0.1;0;0;0;0;6.7;0.4;1.7;4.4;0.2;0.2;0.1;99;37;40;81;107.3;0.3;113.6;0.3;60.3;335.2;26.8;484.8;1235.3;245.9;28.3;0.8;232.8;4.5;6.7;4.0;0.22;0.06;0.05;1.6;0;62.9;36.9;15.3;1.6;2.29
29011;Ahvenet foliossa, voissa;496;0.7;4.1;19.5;0;0.3;<0.1;0;<0.1;0.7;0.2;0;0.2;<0.1;0;0.2;<0.1;0.1;3.7;0.3;1.0;2.3;<0.1;0.2;<0.1;64;26;41;82;101.8;1.8;120.0;0.4;61.2;367.7;28.9;468.0;1192.5;253.9;28.8;0.9;238.8;7.7;7.3;4.1;0.25;0.07;0.06;1.6;1.6;39.5;174.7;15.5;1.6;6.34
31237;Amarantti, hiutale;1545;59.0;7.0;13.6;0;6.7;0;0;57.3;1.7;<0.1;0;0.3;0;<0.1;1.4;N/A;N/A;6.4;2.8;2.1;1.5;0;<0.1;2.7;2736;84;0;0;0;24.0;17.0;1.8;N/A;353.0;25.0;35.0;89.2;331.0;70.7;0.2;181.0;82.0;5.6;2.6;0.07;0.11;0.07;0;2.5;<0.1;29.0;0;1.2;0
33077;Ananas, kuivattu;1288;67.9;0.6;2.8;0;7.1;0.6;0;0;67.9;17.0;0;13.6;0;0;37.3;N/A;N/A;0.3;0.2;<0.1;<0.1;0;<0.1;0.1;117;87;0;0;0;N/A;66.0;1.5;N/A;556.0;61.0;5.0;12.7;41.0;0.5;0.6;N/A;46.0;2.3;2.3;0.51;0.15;0.28;0;48.8;8.0;89.0;0;0.1;3.60
33268;Ananas, kuivattu, jogurttikuorrutus;1749;55.3;17.0;8.3;0;3.9;0.3;0;0;55.3;9.4;0;7.5;11.1;0;27.3;0;0;16.2;0.7;3.7;10.0;1.8;0.1;0.6;553;118;0;0;3.9;53.9;324.0;0.9;32.1;670.1;60.2;226.2;576.5;230.2;4.5;1.3;111.3;36.1;3.3;1.5;0.38;0.54;0.23;0.6;28.2;5.6;53.6;<0.1;0.9;12.21
11056;Ananas, kuorittu;233;11.2;0.4;0.5;0;1.4;0.6;0;0;11.2;1.4;0;2.3;0;0;7.5;0.1;1.2;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;24;18;0;0;0;17.0;12.0;0.2;1.4;174.0;14.0;4.0;10.2;8.0;0.6;<0.1;6.0;5.0;0.6;0.5;0.09;0.02;0.08;0;30.6;5.0;60.0;0;<0.1;0.20
471;Ananas, omassa liemessään;220;11.2;0.1;0.4;0;1.4;0.6;0;0;11.2;1.4;0;2.3;0;0;7.5;0.1;1.2;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;24;18;0;0;0;17.0;9.8;1.0;1.0;104.0;12.4;5.0;12.7;6.8;0.5;0.1;5.0;9.2;0.4;0.3;0.09;<0.01;0.09;0;7.5;5.0;60.0;0;<0.1;0.20
